[47/80] 26.45 sec(s) Train Acc: 0.97665 | Val Acc: 0.90140 | Train Loss: 0.06791 | Val Loss: 0.36260
[48/80] 26.56 sec(s) Train Acc: 0.97605 | Val Acc: 0.90200 | Train Loss: 0.07015 | Val Loss: 0.36470
[49/80] 29.30 sec(s) Train Acc: 0.97790 | Val Acc: 0.90220 | Train Loss: 0.06605 | Val Loss: 0.36448
[50/80] 59.44 sec(s) Train Acc: 0.97830 | Val Acc: 0.90260 | Train Loss: 0.06463 | Val Loss: 0.36199
[51/80] 60.16 sec(s) Train Acc: 0.97595 | Val Acc: 0.90200 | Train Loss: 0.06891 | Val Loss: 0.36503
[52/80] 69.92 sec(s) Train Acc: 0.97830 | Val Acc: 0.90120 | Train Loss: 0.06436 | Val Loss: 0.36869
[53/80] 72.09 sec(s) Train Acc: 0.97560 | Val Acc: 0.89940 | Train Loss: 0.07115 | Val Loss: 0.37038
[54/80] 68.89 sec(s) Train Acc: 0.97675 | Val Acc: 0.90000 | Train Loss: 0.06686 | Val Loss: 0.36540
[55/80] 68.69 sec(s) Train Acc: 0.97680 | Val Acc: 0.90000 | Train Loss: 0.06803 | Val Loss: 0.36705
[56/80] 68.80 sec(s) Train Acc: 0.97665 | Val Acc: 0.89980 | Train Loss: 0.06746 | Val Loss: 0.37040
[57/80] 63.66 sec(s) Train Acc: 0.97690 | Val Acc: 0.90160 | Train Loss: 0.06924 | Val Loss: 0.36400
[58/80] 65.61 sec(s) Train Acc: 0.97800 | Val Acc: 0.90200 | Train Loss: 0.06649 | Val Loss: 0.36497
[59/80] 75.05 sec(s) Train Acc: 0.97690 | Val Acc: 0.90060 | Train Loss: 0.06521 | Val Loss: 0.36435
[60/80] 69.34 sec(s) Train Acc: 0.97680 | Val Acc: 0.89840 | Train Loss: 0.07035 | Val Loss: 0.37110
[61/80] 68.09 sec(s) Train Acc: 0.97665 | Val Acc: 0.89980 | Train Loss: 0.06779 | Val Loss: 0.37369
[62/80] 74.80 sec(s) Train Acc: 0.97710 | Val Acc: 0.90120 | Train Loss: 0.06784 | Val Loss: 0.36816
[63/80] 66.59 sec(s) Train Acc: 0.97800 | Val Acc: 0.90120 | Train Loss: 0.06612 | Val Loss: 0.36717
[64/80] 61.81 sec(s) Train Acc: 0.97765 | Val Acc: 0.90140 | Train Loss: 0.06468 | Val Loss: 0.36322
[65/80] 69.15 sec(s) Train Acc: 0.97655 | Val Acc: 0.90180 | Train Loss: 0.06864 | Val Loss: 0.36896
[66/80] 57.63 sec(s) Train Acc: 0.97900 | Val Acc: 0.90160 | Train Loss: 0.06409 | Val Loss: 0.36448
[67/80] 58.02 sec(s) Train Acc: 0.97765 | Val Acc: 0.90260 | Train Loss: 0.06475 | Val Loss: 0.36622
[68/80] 67.86 sec(s) Train Acc: 0.97710 | Val Acc: 0.90260 | Train Loss: 0.06639 | Val Loss: 0.36757
[69/80] 70.94 sec(s) Train Acc: 0.97730 | Val Acc: 0.90380 | Train Loss: 0.06875 | Val Loss: 0.36322 -> val best (acc)
[70/80] 69.88 sec(s) Train Acc: 0.97690 | Val Acc: 0.90180 | Train Loss: 0.06879 | Val Loss: 0.36224
[71/80] 64.99 sec(s) Train Acc: 0.97785 | Val Acc: 0.90200 | Train Loss: 0.06646 | Val Loss: 0.36429
[72/80] 72.87 sec(s) Train Acc: 0.97820 | Val Acc: 0.90160 | Train Loss: 0.06472 | Val Loss: 0.36135
[73/80] 73.50 sec(s) Train Acc: 0.97870 | Val Acc: 0.90200 | Train Loss: 0.06456 | Val Loss: 0.36592
[74/80] 72.49 sec(s) Train Acc: 0.97745 | Val Acc: 0.90360 | Train Loss: 0.06719 | Val Loss: 0.36239
[75/80] 62.84 sec(s) Train Acc: 0.97885 | Val Acc: 0.90140 | Train Loss: 0.06271 | Val Loss: 0.37024
[76/80] 83.24 sec(s) Train Acc: 0.97735 | Val Acc: 0.90100 | Train Loss: 0.06710 | Val Loss: 0.36849
[77/80] 74.36 sec(s) Train Acc: 0.97780 | Val Acc: 0.90200 | Train Loss: 0.06722 | Val Loss: 0.36424
[78/80] 66.80 sec(s) Train Acc: 0.97635 | Val Acc: 0.90300 | Train Loss: 0.06955 | Val Loss: 0.36586
[79/80] 86.73 sec(s) Train Acc: 0.97750 | Val Acc: 0.90160 | Train Loss: 0.06614 | Val Loss: 0.36694
[80/80] 75.05 sec(s) Train Acc: 0.97835 | Val Acc: 0.90260 | Train Loss: 0.06405 | Val Loss: 0.36457
